City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
329,boyolangu,100,ID,1577297102,87,-8.09,111.9,76.21,2.93
330,dakar,57,SN,1577296660,32,14.69,-17.45,84.2,10.29
331,hwange,60,ZW,1577297102,34,-18.35,26.5,83.7,3.74
332,alta floresta,100,BR,1577296810,78,-9.87,-56.08,82.4,3.36
333,launceston,90,AU,1577296827,87,-41.43,147.14,57.99,1.77
334,shiyan,67,CN,1577297103,35,32.65,110.78,39.54,8.63
335,nyurba,100,RU,1577297103,97,63.29,118.35,-18.85,5.7
336,ambon,100,FR,1577297103,87,47.55,-2.56,48.99,9.17
337,los reyes,0,MX,1577297103,38,20.15,-98.16,68.56,5.21
338,morozovsk,100,RU,1577297103,67,48.35,41.83,30.96,6.98
339,barra do garcas,40,BR,1577296921,52,-15.89,-52.26,91.4,2.24
340,verkhoyansk,60,RU,1577296824,97,67.55,133.39,-40.85,2.08
341,wageningen,90,NL,1577297104,100,51.98,5.66,46.99,3.36
342,lar,0,IR,1577297104,76,27.66,54.32,48.2,2.8
343,la sarre,59,CA,1577296814,85,48.8,-79.2,24.28,5.21
344,caxito,20,BR,1577297104,58,-22.65,-42.51,84.2,10.29
345,marquette,90,US,1577297104,100,46.54,-87.4,35.6,4.59
346,kathmandu,20,NP,1577296566,81,27.71,85.32,42.8,3.36
347,hualmay,94,PE,1577297105,57,-11.1,-77.61,76.12,11.07
348,pades,93,RO,1577296863,69,45.02,22.85,38.64,2.77
349,sao joao da barra,75,BR,1577296813,66,-21.64,-41.05,84.2,11.41
350,port blair,63,IN,1577296783,64,11.67,92.75,79.43,9.15
351,adrar,49,DZ,1577297105,30,27.87,-0.29,69.8,13.87
352,harper,90,US,1577296793,82,30.3,-99.24,62.01,13.87
353,seymchan,100,RU,1577297105,97,62.93,152.39,-30.53,3.02
354,bend,90,US,1577297105,68,44.06,-121.32,30.2,2.17
355,chumphon,7,TH,1577297106,98,10.5,99.18,70.81,1.5
356,vestmannaeyjar,88,IS,1577296817,74,63.44,-20.27,34.88,13.44
357,mahebourg,75,MU,1577296788,83,-20.41,57.7,80.6,17.22
358,jian,0,IN,1577297106,52,25.65,87.89,59.05,5.7
359,bethel,1,US,1577296787,69,60.79,-161.76,-11.2,14.99
360,jiuquan,76,CN,1577296807,38,39.73,98.49,12.06,4.61
361,naryan-mar,50,RU,1577297106,93,67.67,53.09,-12.66,8.7
362,kamaishi,34,JP,1577297106,92,39.28,141.86,37.4,8.08
363,pingliang,0,CN,1577297107,48,35.54,106.68,15.84,4.36
364,jamame,78,SO,1577297107,79,0.07,42.75,81.18,20.76
365,alvorada,20,BR,1577297107,30,-30.0,-51.08,100.0,9.17
366,westport,90,US,1577296923,64,41.14,-73.36,46.99,4.7
367,gonda,0,IN,1577297107,44,27.13,81.96,53.69,6.82
368,andros town,20,BS,1577297107,61,24.73,-77.79,77.0,12.75
369,kenora,90,CA,1577297108,92,49.76,-94.48,26.6,11.41
370,thunder bay,90,CA,1577296948,100,48.41,-89.26,35.01,12.75
371,resen,40,MK,1577297108,59,41.09,21.01,37.4,4.7
372,gulaothi,40,IN,1577297108,100,28.6,77.78,55.99,3.36
373,russell,1,US,1577297108,50,38.9,-98.86,60.01,18.34
374,bahia blanca,0,AR,1577297108,16,-38.72,-62.27,80.71,11.45
375,kavaratti,0,IN,1577297108,74,10.57,72.64,83.41,5.48
376,kisangani,100,CD,1577296860,85,0.52,25.21,75.56,3.04
377,kavieng,100,PG,1577296796,73,-2.57,150.8,83.86,14.63
378,el vigia,90,MX,1577297109,88,26.85,-109.72,70.0,3.36
379,sudak,67,UA,1577297109,90,44.85,34.97,47.43,0.72
380,alcantarilla,15,ES,1577297109,87,37.97,-1.22,61.0,2.46
381,flinders,15,AU,1577296792,100,-34.58,150.85,69.01,6.96
382,maragogi,7,BR,1577297109,76,-9.01,-35.22,80.65,15.68
383,novyy urgal,2,RU,1577297109,96,51.07,132.56,-34.28,0.6
